country,duration,retention,niche,rpm
1,91.9,10.3,3,13.5
1,168.4,57.1,0,48.28
3,153.8,1.8,3,3.02
1,13.2,48.2,1,9.52
1,9.2,21.0,2,2.26
3,124.2,34.6,3,5.64
3,69.5,77.6,3,3.09
3,41.8,94.1,3,2.42
1,115.9,7.2,1,20.24
3,68.3,53.4,3,4.34
3,107.5,88.3,1,11.08
1,92.0,8.3,1,10.75
3,117.0,82.5,1,12.75
1,80.1,35.8,2,9.72
2,139.5,32.2,2,5.63
3,36.0,97.7,3,5.19
2,139.3,20.1,3,8.4
1,82.3,69.3,2,16.57
3,174.9,82.1,0,17.12
1,103.0,4.1,2,21.14
2,194.6,67.0,1,76.54
1,120.4,95.2,2,28.07
3,44.8,12.4,1,2.39
3,164.4,89.6,3,5.73
2,69.0,59.5,0,20.26
1,69.5,61.7,3,4.14
3,6.4,61.3,1,4.07
2,109.7,29.9,1,16.56
3,106.9,93.5,1,17.17
3,71.2,94.7,0,18.67
1,178.8,62.5,2,28.59
3,25.7,78.3,3,4.1
1,66.0,61.2,3,18.61
3,64.3,48.4,2,4.33
2,18.5,66.1,3,4.13
3,96.2,55.3,0,6.19
1,137.6,59.7,3,8.6
1,102.3,78.4,1,21.95
2,31.4,48.1,2,4.65
3,75.5,4.1,0,4.45
3,0.5,16.4,2,0.77
2,173.7,43.9,0,26.03
3,16.9,72.5,1,6.9
3,119.5,59.3,2,5.74
1,197.3,65.0,3,8.54
3,107.3,47.9,0,12.4
3,184.8,61.6,2,9.32
2,47.2,32.9,3,2.65
2,152.0,47.0,2,14.19
1,106.3,74.4,2,13.94
3,144.1,87.2,2,9.7
3,12.5,43.4,0,10.72
3,29.5,4.4,3,0.51
1,26.6,16.2,1,6.48
1,137.4,2.1,0,26.42
2,168.9,65.3,0,27.46
1,149.9,33.2,0,60.76
3,6.1,54.2,1,3.95
3,173.4,49.3,3,7.3
1,70.8,8.2,3,6.21
3,79.4,40.3,3,1.85
3,21.0,22.1,2,1.19
1,147.5,41.8,2,28.35
1,36.5,20.4,2,7.32
3,112.8,84.0,1,16.58
3,168.1,17.4,2,8.05
3,17.8,96.1,1,3.92
2,107.1,41.6,3,5.45
2,46.6,84.6,2,10.54
2,68.6,62.9,2,11.39
1,94.8,73.5,0,50.95
2,71.0,76.8,1,9.95
1,129.8,50.5,3,8.63
1,95.9,54.3,0,32.02
2,116.8,51.4,0,38.22
2,147.4,58.8,3,7.04
2,111.5,2.9,0,19.45
3,117.3,39.6,1,10.31
2,112.9,60.6,1,22.44
3,75.8,59.8,2,9.15
1,67.5,79.3,0,56.34
3,179.9,65.5,2,7.56
2,121.5,99.2,0,14.12
1,48.9,28.4,1,10.46
1,99.6,35.9,1,23.48
1,66.1,38.4,1,15.5
3,186.7,46.6,0,35.63
2,1.5,83.6,1,8.0
1,45.1,23.6,0,20.63
1,73.1,77.6,2,18.11
1,97.6,40.5,0,28.24
3,170.2,60.2,2,4.47
3,17.6,63.3,0,5.81
2,161.2,37.3,2,43.06
3,11.1,51.3,1,2.2
1,168.5,41.3,2,12.83
2,10.3,6.9,1,4.35
1,3.6,43.7,1,10.19
1,139.4,9.7,2,18.92
3,199.5,40.5,0,29.76
2,179.3,59.3,0,24.43
3,115.2,57.9,3,4.03
3,183.5,66.3,0,26.47
2,1.1,9.5,3,1.38
1,195.0,65.2,0,39.38
1,98.1,31.2,0,47.22
2,144.6,39.9,1,21.26
1,164.2,85.8,3,18.95
2,143.7,0.9,0,20.76
2,107.0,58.8,3,4.43
3,95.3,59.9,1,11.95
2,167.7,39.7,1,15.9
3,41.0,23.7,3,1.13
1,193.6,23.5,1,50.26
1,142.2,88.4,2,34.05
1,39.9,44.2,2,9.91
1,147.2,33.1,1,44.44
3,106.0,44.9,2,9.53
1,141.4,66.9,0,74.66
2,153.6,14.6,3,6.3
2,17.5,44.9,0,12.2
2,101.2,58.8,3,7.47
3,186.4,94.9,1,28.02
1,64.1,25.3,0,20.24
1,118.8,35.9,1,23.03
1,73.8,37.9,1,15.18
3,90.9,60.6,3,3.89
2,109.7,35.7,3,7.58
2,109.8,53.4,3,8.43
1,40.3,78.2,0,29.51
2,136.9,70.5,2,17.8
2,17.6,44.6,3,2.51
3,27.8,86.4,3,1.94
3,0.5,55.8,0,2.97
3,23.3,54.0,3,2.6
3,94.6,3.4,0,9.37
1,121.2,98.7,1,18.56
3,158.9,12.3,3,6.3
2,21.3,23.1,3,3.99
1,170.1,5.2,1,23.57
2,149.2,64.0,1,23.79
2,81.7,22.5,1,9.11
2,186.6,18.0,3,11.41
3,198.2,8.9,2,5.42
3,41.0,10.3,2,2.09
1,75.8,58.5,2,21.44
1,185.3,68.8,3,28.32
3,144.3,39.7,1,11.97
2,9.6,48.0,3,2.21
1,156.3,68.6,1,21.24
3,165.6,1.7,3,3.25
3,150.1,32.3,3,3.81
3,159.9,97.3,1,10.92
2,165.0,58.0,2,15.6
3,37.3,25.4,1,3.22
3,47.1,52.2,0,7.98
3,126.8,34.3,0,18.99
3,181.6,53.2,1,11.31
1,63.2,12.6,3,3.61
1,117.7,13.3,0,24.36
3,136.6,14.4,0,14.61
2,90.4,94.0,3,9.88
1,142.8,73.3,3,17.91
3,179.9,16.2,2,12.11
1,124.8,18.8,3,10.1
1,108.0,73.1,1,60.77
2,87.7,15.6,1,14.33
3,115.5,23.5,2,2.25
3,71.1,96.3,0,23.04
2,78.3,25.5,0,11.22
2,106.4,66.2,3,5.19
3,13.3,97.9,1,6.92
3,45.8,37.4,0,3.5
2,108.6,1.8,2,6.29
1,86.3,24.4,2,22.49
1,66.6,83.1,1,29.3
2,146.1,86.5,2,20.81
1,138.7,76.9,2,19.3
2,33.3,11.3,1,2.87
1,175.7,79.6,3,23.5
1,99.1,91.9,3,18.69
3,148.3,60.1,2,10.79
3,114.6,94.1,3,5.3
1,199.5,82.7,3,14.47
1,150.5,66.7,2,57.85
3,141.4,57.7,3,5.7
3,155.7,34.9,2,6.93
3,28.6,15.9,0,3.48
2,40.9,60.5,1,10.46
1,142.8,31.8,1,42.94
3,98.8,86.6,3,4.68
1,150.9,99.3,3,23.99
2,20.6,75.2,3,4.22
2,107.3,9.0,1,11.7
3,75.8,28.9,0,10.24
2,91.4,10.9,0,18.22
1,120.8,65.1,1,28.86
3,100.5,76.5,0,10.18
1,108.0,92.6,1,36.56
1,97.3,43.8,0,33.37
2,81.8,90.1,2,9.4
2,154.4,87.8,2,12.15
2,2.4,31.7,1,4.11
2,119.7,86.9,0,33.59
2,113.1,37.6,3,5.87
3,143.2,29.7,0,10.96
1,119.8,64.9,2,15.65
1,165.4,32.8,2,26.3
1,191.8,63.0,0,43.85
1,68.5,61.0,0,64.03
2,45.5,56.3,3,3.8
1,84.7,38.0,3,3.87
3,57.6,54.8,0,8.4
3,123.0,59.6,0,13.5
1,182.4,54.6,0,80.08
1,27.8,44.4,0,18.29
3,20.2,1.5,1,1.14
3,51.2,58.7,0,7.47
2,145.2,16.8,3,8.18
3,118.6,64.3,2,3.24
2,20.4,75.9,1,14.68
2,183.8,50.0,0,24.08
2,158.0,54.2,2,23.92
2,4.6,95.1,1,10.62
2,130.3,84.7,2,18.02
1,154.2,91.4,0,82.3
3,74.9,81.4,0,14.15
2,13.8,10.9,3,1.61
3,15.5,14.9,0,2.47
3,20.8,52.7,0,6.29
2,168.1,24.6,1,15.99
1,182.1,47.7,3,14.91
2,24.6,39.4,1,12.85
1,47.2,54.9,2,8.7
3,33.1,74.7,0,8.36
1,37.3,71.5,2,12.53
1,167.5,52.1,1,32.83
1,66.4,82.2,0,39.43
3,62.3,43.1,0,9.93
3,45.5,89.7,1,5.19
1,121.6,7.1,1,23.22
1,75.9,95.5,1,18.8
2,148.8,65.5,1,27.98
1,41.1,38.0,1,14.19
2,157.6,19.7,0,25.71
1,120.7,47.9,1,35.43
2,22.9,19.5,0,5.71
3,82.9,16.6,0,10.9
1,172.7,61.7,1,27.88
1,184.6,52.3,1,64.75
1,93.1,67.0,3,9.47
1,96.2,93.0,0,23.17
2,183.7,53.2,1,21.12
1,117.4,58.1,1,24.89
3,6.6,9.0,1,1.0
3,182.5,71.8,3,6.64
1,49.6,40.0,3,9.67
3,115.5,97.7,2,7.38
1,33.1,82.3,0,19.83
1,6.8,52.2,2,4.46
3,62.3,12.3,1,3.73
1,156.1,85.9,3,8.94
3,55.5,80.0,3,2.47
2,44.0,18.5,2,7.02
1,42.5,29.5,3,4.05
2,103.0,79.3,1,22.19
3,195.1,18.5,3,3.46
2,91.8,91.8,2,22.7
2,111.5,42.5,1,29.46
3,172.1,8.7,2,8.77
2,107.0,81.6,3,16.17
2,36.9,37.4,2,5.86
3,59.9,52.6,2,5.58
2,62.0,11.2,0,16.67
3,79.5,0.3,3,2.23
2,85.4,63.8,3,3.73
3,160.0,51.5,2,10.65
3,69.9,59.4,0,8.26
2,93.6,79.4,3,6.42
2,125.0,64.7,1,20.83
2,75.5,17.5,2,8.13
1,167.3,36.1,3,15.8
1,117.5,90.6,1,42.16
1,58.8,77.0,3,7.49
3,142.8,55.7,1,10.83
2,105.5,25.6,2,12.42
3,106.9,30.2,3,6.31
1,96.2,73.2,3,25.47
2,99.4,85.1,0,28.72
3,153.1,67.1,2,11.18
2,20.6,81.0,1,19.31
3,66.9,76.7,3,2.68
2,15.1,15.0,3,1.85
1,150.6,42.4,1,42.35
1,54.5,15.3,2,14.06
2,179.5,23.5,0,19.12
3,105.3,86.9,0,10.28
1,160.1,47.3,3,15.28
1,195.8,53.5,1,47.43
1,168.0,17.8,3,20.58
2,173.4,31.2,1,24.87
2,81.6,23.0,0,14.07
3,110.3,20.6,2,5.95
3,50.8,63.8,1,6.92
3,39.2,25.7,0,9.49
2,101.1,63.2,3,7.52
2,119.0,5.8,1,11.43
3,67.9,14.2,2,3.87
3,113.9,27.5,3,3.76
2,177.5,59.7,3,5.96
3,111.3,67.6,0,13.4
1,144.2,44.3,1,30.47
2,161.1,44.6,3,7.48
3,197.7,72.5,2,14.69
2,120.6,1.6,1,9.78
1,161.4,34.1,2,26.6
2,192.5,81.9,3,11.24
2,188.9,60.3,2,17.72
2,28.2,33.7,0,10.05
2,81.3,90.6,2,7.22
1,64.8,77.3,1,24.57
2,17.4,26.5,2,7.08
2,126.6,64.5,2,7.54
3,147.2,59.6,0,15.39
2,169.6,40.1,2,21.53
3,24.6,36.7,2,2.64
1,175.3,34.4,3,19.68
1,128.6,61.7,3,5.99
1,140.8,44.2,1,38.19
1,182.1,83.2,3,14.59
3,125.0,67.0,3,5.14
2,67.2,7.0,3,3.44
1,165.0,64.0,3,36.8
2,72.6,27.1,0,17.04
3,6.8,59.3,3,1.49
3,166.1,68.0,0,10.45
3,69.0,23.1,0,7.59
1,154.8,45.7,3,19.58
2,72.6,19.0,2,6.37
2,172.2,5.2,0,21.18
2,43.9,37.8,2,4.65
3,194.9,36.3,2,10.76
1,156.0,99.5,3,23.68
3,22.8,44.6,1,6.02
3,113.2,33.4,3,2.55
2,197.1,58.0,1,30.6
3,94.2,8.9,1,5.77
2,36.4,96.2,3,5.32
1,97.0,63.5,3,13.29
2,102.5,75.5,1,20.1
1,148.3,17.0,3,14.91
2,139.8,40.9,1,12.57
3,80.5,42.3,2,3.63
3,43.6,82.2,3,4.94
1,129.0,0.1,2,14.41
1,84.3,30.1,0,29.78
1,26.5,98.1,2,19.43
2,180.1,47.5,2,18.46
2,138.2,38.3,1,21.57
1,136.6,12.0,2,24.11
3,164.5,97.4,3,2.96
2,105.9,2.0,1,9.62
2,163.0,73.7,0,37.87
2,99.6,76.9,3,12.27
1,13.4,24.4,0,9.46
1,81.0,67.2,2,12.4
1,99.5,9.3,3,6.25
1,144.0,25.7,3,17.2
1,21.3,78.8,0,20.24
3,28.0,86.5,3,2.64
3,52.7,60.8,3,3.36
1,53.3,50.7,3,2.73
2,146.4,15.9,2,23.13
1,50.1,6.3,0,10.95
3,126.6,11.8,3,3.8
3,98.9,22.7,1,3.83
2,114.7,34.2,1,13.02
3,167.6,38.1,1,17.83
1,80.9,34.6,1,9.99
2,154.2,23.9,2,18.54
1,84.4,51.0,3,8.94
1,70.8,82.5,0,40.33
2,191.7,28.0,3,12.29
1,36.9,94.2,2,16.63
3,18.1,87.3,1,4.08
1,154.2,16.2,2,17.67
2,13.6,78.6,3,2.29
2,167.4,57.5,0,36.61
2,87.4,56.7,2,17.82
1,183.1,39.1,0,27.12
2,144.3,50.1,2,10.24
2,122.1,39.7,0,21.05
1,189.9,54.0,0,59.37
3,79.3,62.8,1,10.58
1,190.8,67.4,0,55.69
2,27.0,53.2,1,7.07
2,96.8,72.1,3,10.66
1,54.0,14.1,3,6.65
3,108.0,21.2,1,8.92
2,32.4,81.9,1,11.36
2,168.3,32.3,2,19.72
2,169.3,2.3,2,9.75
1,191.0,15.4,2,18.37
2,30.9,22.4,3,3.2
3,124.7,95.7,2,4.63
2,94.8,57.3,0,21.42
2,68.9,93.3,0,19.18
3,70.3,57.5,2,2.95
2,82.6,47.9,0,12.94
1,141.0,31.4,3,12.28
1,119.7,60.6,0,58.83
1,91.9,13.9,3,6.41
3,15.2,89.8,1,8.38
2,15.6,82.9,1,9.52
1,0.5,31.8,1,8.9
3,193.5,95.3,1,12.73
2,1.1,82.5,0,10.56
3,20.6,66.6,2,3.65
1,62.9,12.2,0,17.15
1,161.5,47.8,3,21.36
1,192.4,50.6,0,25.76
3,158.0,23.3,0,33.02
3,138.1,8.0,3,4.98
1,104.3,77.7,1,27.92
3,17.3,12.2,1,1.54
1,191.6,59.4,1,30.79
1,151.7,93.6,2,34.41
2,127.8,87.6,3,13.03
3,151.8,27.8,3,4.2
1,144.8,85.1,0,76.05
1,127.4,0.0,2,11.19
3,196.1,1.8,1,7.79
2,180.7,60.3,2,31.13
2,129.3,36.5,3,9.02
1,138.6,38.6,3,21.26
3,10.3,56.4,0,3.68
2,134.0,19.2,0,15.67
3,8.8,21.2,3,0.71
3,117.7,48.5,1,6.92
1,199.9,75.4,1,58.11
2,111.2,61.9,2,9.06
1,94.6,29.7,3,6.13
2,62.6,43.0,3,4.87
2,24.1,17.1,1,2.85
2,146.2,7.5,1,8.5
2,38.5,78.3,3,5.14
2,23.1,26.5,0,3.87
3,84.4,17.8,3,3.39
1,159.1,69.2,3,10.11
3,149.0,61.8,1,5.31
2,11.0,63.3,1,6.45
1,91.0,22.9,0,28.27
2,104.5,23.3,0,21.43
1,128.9,22.1,2,18.84
3,130.0,17.4,3,2.55
1,72.9,65.6,1,29.08
1,112.1,84.8,0,61.58
1,96.2,72.4,2,12.42
1,177.0,79.2,2,27.17
1,106.1,40.5,1,22.36
2,88.2,65.4,1,16.33
1,80.9,35.4,2,12.57
1,114.5,52.6,0,37.29
3,160.8,48.2,2,10.02
1,107.7,17.7,3,6.4
3,132.3,38.7,3,5.43
2,147.6,96.4,1,35.46
1,104.0,24.9,0,53.64
3,85.4,13.4,0,3.73
3,175.3,41.9,3,4.99
2,83.5,79.0,2,5.47
1,92.4,58.2,1,10.6
1,198.1,68.1,2,31.85
3,0.0,19.0,2,0.74
1,37.1,61.9,2,12.3
3,76.8,32.4,0,10.07
1,186.5,83.4,3,30.0
3,14.0,62.9,0,5.78
1,1.9,19.9,3,5.04
2,10.5,6.5,1,2.44
1,17.7,4.3,1,8.68
1,7.5,37.1,2,2.3
2,96.0,26.6,3,8.81
1,116.2,64.6,3,12.23
2,54.3,49.9,3,2.29
1,79.7,26.6,2,14.48
3,18.3,14.9,2,1.27
3,67.3,12.7,1,5.76
1,104.5,86.5,0,60.67
1,146.5,24.3,3,7.55
1,0.7,65.2,3,6.53
3,93.5,81.1,0,13.02
1,59.4,61.4,3,13.89
3,170.6,86.0,2,8.96
2,143.1,39.2,2,10.72
3,117.8,95.6,3,5.08
3,55.5,13.3,2,2.9
2,182.1,10.2,2,10.8
3,9.0,65.9,3,1.47
1,21.9,94.3,1,11.86
1,78.3,80.9,0,30.43
3,24.9,7.6,2,1.81
1,191.3,27.9,1,35.37
3,159.6,93.0,2,13.43
1,51.8,25.3,2,8.57
1,117.7,78.1,0,26.64
3,196.5,82.5,2,12.95
1,176.8,49.5,0,41.05
3,120.2,38.6,0,11.28
1,180.7,45.0,0,80.15
1,197.8,22.7,1,24.95
2,148.7,88.9,3,10.77
2,13.0,45.1,1,5.7
3,80.3,88.2,3,5.06
2,167.6,10.6,3,10.85
3,46.1,98.8,0,11.53
2,166.1,44.3,2,12.82
1,24.1,4.8,0,9.25
3,9.4,3.8,2,1.13
3,76.8,74.6,3,3.55
1,7.3,65.9,0,14.62
3,191.5,80.2,2,11.73
3,165.2,10.5,1,10.21
2,160.2,3.6,2,7.33
3,126.0,50.9,0,14.68
1,43.3,38.8,1,8.63
2,103.7,46.2,2,11.77
2,119.5,99.2,2,11.02
1,105.0,97.1,2,22.69
1,52.0,94.2,2,18.33
2,103.0,78.4,2,28.78
3,98.2,35.5,1,9.76
2,199.3,41.2,3,17.09
1,179.5,55.0,1,75.16
2,92.7,83.1,1,20.29
1,124.6,6.9,1,25.29
2,149.6,42.4,3,5.82
3,7.0,8.3,0,1.47
2,179.0,51.5,3,7.84
2,172.0,89.9,1,22.32
1,91.5,78.2,2,36.51
1,78.2,22.8,2,12.44
1,54.6,97.6,1,17.8
2,95.3,66.7,2,17.74
3,8.9,1.0,1,1.21
1,170.4,25.5,2,32.54
1,7.1,26.1,3,1.28
2,65.8,6.9,0,21.23
1,186.3,96.0,0,52.11
3,147.0,47.8,3,6.23
3,56.3,89.6,3,8.23
1,50.5,32.2,1,29.94
1,1.0,12.5,1,2.08
2,139.1,47.4,1,11.27
3,9.8,11.4,2,1.61
3,106.5,48.6,1,9.06
1,192.4,92.0,3,17.08
2,21.9,52.1,0,12.45
3,178.9,61.6,2,8.63
3,198.3,15.7,1,15.57
2,12.3,4.4,2,1.55
2,176.6,11.1,2,17.12
3,103.2,59.9,1,6.56
3,181.3,9.5,2,12.37
2,114.3,37.6,0,26.94
3,132.4,55.0,3,5.69
1,108.8,38.9,3,7.35
1,172.9,16.4,0,80.68
2,146.8,27.4,2,12.14
2,104.3,92.8,1,24.65
2,173.6,67.6,2,14.69
1,49.1,49.6,0,24.63
3,31.5,1.3,2,1.64
1,32.1,99.2,3,3.37
3,66.8,67.1,2,6.14
1,47.7,31.7,0,37.03
3,186.0,87.9,3,7.9
1,21.2,25.8,2,4.05
2,139.8,54.4,2,16.72
1,37.8,63.6,3,10.44
3,176.3,22.1,1,13.46
1,192.3,97.8,3,20.18
1,93.1,74.8,1,25.15
1,175.8,55.8,0,48.6
2,1.0,18.1,0,3.93
1,164.0,5.4,3,7.83
2,45.7,32.0,3,3.05
2,181.7,75.3,0,61.04
1,0.2,26.9,1,8.62
1,111.2,54.0,0,22.47
1,151.3,72.8,3,10.85
3,51.7,10.8,0,4.67
1,38.6,68.5,3,10.35
2,16.8,9.2,3,0.71
1,65.3,96.5,0,34.84
3,112.0,48.8,1,7.57
1,23.2,15.1,2,7.69
3,75.3,34.2,0,4.72
3,1.8,41.3,2,1.71
1,163.7,75.8,0,47.18
2,25.7,74.3,2,11.02
3,56.7,61.2,1,7.93
1,3.7,10.6,1,2.53
1,86.4,15.2,0,32.74
2,168.0,9.4,3,7.0
3,40.9,34.9,0,4.69
2,137.6,23.1,3,5.42
3,36.9,31.4,1,3.8
3,113.9,94.1,3,3.4
1,61.5,72.7,2,11.32
3,170.6,76.8,2,10.89
3,79.6,38.5,0,6.91
2,61.6,65.5,2,9.5
3,179.9,64.8,2,17.47
2,71.7,44.1,2,8.84
3,72.7,68.4,0,16.43
2,160.7,31.3,0,38.19
1,40.4,49.5,3,8.32
2,185.9,46.7,0,52.46
3,176.9,94.5,3,5.98
2,71.4,99.2,1,17.1
1,64.4,0.9,3,4.39
3,25.4,62.8,3,1.62
1,165.6,44.5,1,83.62
2,57.1,0.7,0,9.05
3,156.4,60.7,2,6.08
2,54.7,33.0,1,8.62
1,101.6,70.2,2,25.77
1,173.3,65.8,2,29.25
1,174.5,23.2,0,40.1
1,179.1,14.0,3,30.35
2,73.7,25.5,3,3.99
3,174.3,12.8,0,23.64
1,118.2,58.6,1,22.3
3,154.0,62.0,1,16.01
1,67.0,3.9,2,4.36
1,26.8,68.9,3,7.0
2,125.8,86.8,3,6.78
1,43.7,97.2,0,15.17
2,161.4,26.3,0,25.84
1,90.9,75.3,0,52.06
1,169.1,52.5,3,15.49
1,4.5,25.5,3,1.94
3,7.3,4.2,3,0.47
2,7.8,29.3,3,2.25
2,148.2,39.2,0,34.23
3,146.6,94.5,3,8.8
3,132.7,28.9,3,3.77
3,185.7,99.4,3,8.38
2,167.5,91.5,3,8.19
1,145.8,40.0,3,18.82
1,119.5,18.4,2,24.56
3,130.5,74.8,1,15.98
2,142.1,76.0,1,13.35
1,130.7,20.0,1,15.37
3,96.7,29.2,1,7.07
3,88.1,82.7,2,5.81
3,155.8,69.0,2,13.61
3,0.6,49.6,1,2.23
2,21.7,18.0,3,2.55
3,109.4,96.4,2,7.17
1,95.7,76.6,1,52.82
2,25.0,6.9,1,3.82
1,187.8,42.2,0,131.27
3,154.9,10.8,0,14.34
1,70.3,77.3,2,14.33
3,152.3,74.1,0,20.71
2,131.3,81.0,0,22.86
3,112.4,8.5,2,4.94
1,119.4,12.4,2,20.23
3,34.8,37.3,1,3.44
3,168.3,39.9,1,7.76
1,184.0,75.3,2,43.92
3,33.2,64.6,2,3.3
2,150.9,71.4,1,13.95
3,195.7,76.4,2,11.18
2,197.6,76.7,3,6.54
2,157.6,12.3,3,7.46
3,85.9,50.9,2,5.05
1,24.9,60.8,0,17.5
1,48.7,35.3,2,12.28
2,24.4,61.1,3,5.76
1,176.7,23.2,3,11.85
3,110.9,92.2,1,12.35
2,110.5,54.8,2,14.05
2,76.0,98.3,1,25.86
1,5.9,87.9,0,12.46
2,133.5,32.5,0,22.86
2,32.2,3.9,3,1.98
1,103.7,96.5,2,28.87
1,110.6,42.2,3,8.85
2,138.1,92.5,1,35.18
3,55.5,81.5,2,5.47
2,84.6,63.1,1,17.82
2,112.3,34.1,2,4.91
2,70.7,77.5,0,37.41
3,72.6,52.5,2,6.14
1,31.8,59.1,1,15.18
3,44.2,43.0,2,3.4
3,71.4,3.1,3,1.1
2,20.8,33.2,1,5.78
3,178.4,25.8,2,5.59
3,87.5,20.2,2,5.71
2,150.5,54.8,1,60.1
3,92.7,17.5,0,8.12
1,49.1,21.3,0,28.27
3,85.1,23.4,0,10.87
3,184.5,47.3,2,14.78
2,199.7,97.2,1,26.42
2,120.1,51.0,2,5.78
3,128.7,32.3,1,6.63
3,173.4,53.5,0,14.28
1,184.0,62.5,2,25.75
2,79.9,62.1,2,7.5
2,55.5,72.1,0,19.76
1,143.3,46.2,1,40.57
2,129.0,98.6,2,10.58
1,99.1,18.3,0,23.9
2,165.6,4.0,1,20.33
3,175.8,36.7,3,12.34
3,141.5,47.6,2,5.92
1,56.6,12.0,0,12.48
2,123.2,41.2,3,9.19
2,89.0,0.6,2,6.28
2,197.8,5.9,1,14.17
1,144.6,29.5,0,37.24
2,171.4,84.3,3,6.6
2,92.3,84.2,3,3.6
1,23.7,62.8,2,8.73
3,44.8,29.8,3,2.88
2,156.0,48.3,0,42.29
3,158.5,93.0,0,14.55
1,113.9,7.8,0,29.71
2,70.3,25.6,3,5.46
1,111.5,5.6,1,26.55
3,33.1,15.2,0,4.6
1,141.8,15.9,1,34.5
1,38.1,33.6,0,9.78
3,61.3,70.3,0,5.89
1,68.2,29.2,2,11.19
3,0.8,57.6,1,1.87
2,84.5,66.4,1,13.73
1,166.0,57.4,1,27.37
1,34.8,2.9,0,8.63
1,77.8,38.0,3,8.08
1,159.3,10.7,3,13.01
1,106.5,22.8,3,11.13
1,86.7,66.9,1,20.05
2,92.1,60.3,2,9.9
1,170.9,24.0,1,36.19
1,15.0,28.0,2,7.55
1,90.3,18.7,1,19.35
3,148.9,40.3,2,6.12
3,124.9,14.6,0,10.29
2,17.4,84.4,3,5.75
2,148.4,18.6,3,11.38
1,105.4,13.7,0,23.76
3,118.8,23.3,1,8.6
3,112.9,36.6,3,3.62
2,178.7,81.3,0,54.49
3,50.3,91.4,3,2.16
3,64.8,55.6,2,7.64
1,133.8,79.7,1,38.19
3,158.8,69.5,0,28.18
1,27.0,5.4,1,7.39
1,74.1,73.3,2,10.56
2,135.0,86.6,1,32.62
3,125.9,63.6,3,4.48
2,133.0,15.9,1,12.51
2,42.3,99.2,0,19.05
1,188.6,80.8,2,25.53
2,172.1,42.1,2,20.35
2,140.6,78.7,0,15.41
3,90.7,52.8,2,5.44
1,107.4,74.0,3,11.39
2,112.7,74.5,3,9.36
2,47.1,75.5,1,9.72
1,110.1,2.4,3,15.26
